"","main_category","subcategory","loc_state","loc_name","goal","state","face.like","face_followers","youtube_videos","youtube_subscriptors","youtube_views","instagram_followers","twitter_followers","PCE","dif_launch_end","dif_create_end","dif_create_launch"
"1","Journalism","Photo","","",2000,"successful",0,0,0,0,0,"0",0,47915,89,90,1
"2","Comics","Webcomics","AK","Kenai",7500,"failed",0,0,56,5,3256,"0",0,54331,23,41,18
"4","Publishing","Literary Spaces","AK","Juneau",5000,"successful",0,1771,0,0,0,"0",0,54331,30,74,44
"6","Comics","Webcomics","AK","Anchorage",500,"failed",0,0,0,0,0,"0",61,54331,30,43,13
"12","Comics","Webcomics","AL","Birmingham",8000,"successful",0,0,0,0,0,"0",0,39657,60,71,11
"16","Music","R&B","AL","Birmingham",2500,"successful",2570,2643,4,102,2712,"0",0,39657,36,44,8
"18","Comics","Webcomics","AL","Birmingham",1500,"failed",0,0,0,0,0,"0",0,39657,21,22,1
"21","Theater","Spaces","AR","Fort Smith",300,"failed",0,0,0,0,0,"0",0,39044,38,39,1
"23","Publishing","Literary Spaces","AR","Little Rock",10000,"successful",0,0,0,0,0,"0",0,39044,30,61,31
"24","Film & Video","Comedy","AR","Little Rock",1900,"successful",0,0,0,0,0,"0",0,39044,17,490,473
"25","Comics","Webcomics","AR","West Memphis",4200,"failed",0,0,0,0,0,"0",0,39044,30,159,129
"26","Comics","Webcomics","AR","Conway",2700,"failed",0,0,0,0,0,"0",0,39044,60,60,0
"27","Comics","Webcomics","AZ","Tucson",3500,"successful",2888,2878,0,0,0,"8366",4014,44875,30,45,15
"28","Comics","Webcomics","AZ","Tucson",7500,"successful",2888,2878,0,0,0,"8366",4003,44875,30,34,4
"30","Design","Toys","AZ","Douglas",3000,"successful",0,0,0,0,0,"0",0,44875,30,82,52
"31","Theater","Spaces","AZ","Phoenix",1000,"successful",0,0,0,0,0,"0",0,44875,30,36,6
"32","Publishing","Literary Spaces","AZ","Phoenix",500,"failed",0,0,0,0,0,"0",0,44875,6,6,0
"33","Journalism","Photo","AZ","Fountain Hills",3000,"failed",0,0,0,0,0,"0",0,44875,60,61,1
"34","Theater","Spaces","AZ","Phoenix",20000,"failed",0,0,0,0,0,"0",0,44875,25,37,12
"35","Film & Video","Comedy","AZ","Tucson",4000,"successful",0,0,0,0,0,"0",354,44875,30,32,2
"36","Publishing","Literary Spaces","AZ","Tolleson",650,"successful",0,0,0,0,0,"0",0,44875,30,33,3
"37","Comics","Webcomics","AZ","Phoenix",15000,"successful",0,0,0,0,0,"0",12300,44875,30,99,69
"38","Journalism","Photo","AZ","Tucson",50000,"failed",0,0,0,0,0,"0",0,44875,30,32,2
"39","Design","Product Design","AZ","Prescott",8000,"successful",0,0,0,0,0,"0",0,44875,30,41,11
"40","Comics","Webcomics","AZ","Tempe",1500,"successful",240,248,0,0,0,"0",0,44875,45,51,6
"41","Comics","Webcomics","AZ","Tucson",5000,"successful",4544,4544,0,0,0,"0",1952,44875,30,55,25
"42","Comics","Webcomics","AZ","Tucson",7500,"successful",2888,2878,0,0,0,"8366",4003,44875,30,47,17
"44","Theater","Spaces","AZ","Phoenix",20000,"failed",5100,5700,81,507,38384,"3265",199,44875,31,68,37
"45","Theater","Spaces","AZ","Tucson",50000,"successful",1060,1205,0,0,0,"0",0,44875,45,110,65
"46","Theater","Spaces","AZ","Chandler",7900,"successful",0,0,0,0,0,"0",0,44875,30,57,27
"47","Comics","Webcomics","AZ","Sierra Vista",12500,"failed",0,0,0,0,0,"0",0,44875,45,60,15
"48","Comics","Webcomics","AZ","Gilbert",4300,"successful",543,639,0,0,0,"0",0,44875,31,75,44
"49","Journalism","Photo","AZ","Mesa",2000,"failed",0,0,0,0,0,"0",0,44875,30,30,0
"50","Food","Cookbooks","AZ","Winslow",1000,"successful",0,0,0,0,0,"747",623,44875,11,32,21
"51","Comics","Webcomics","AZ","Phoenix",1800,"successful",0,0,0,0,0,"0",1167,44875,30,41,11
"53","Food","Cookbooks","AZ","Phoenix",4000,"successful",0,0,0,0,0,"0",0,44875,30,135,105
"54","Comics","Webcomics","AZ","Phoenix",10000,"failed",0,0,517,4250,1028398,"0",0,44875,60,60,0
"55","Comics","Webcomics","AZ","Phoenix",18000,"successful",0,0,0,0,0,"4210",0,44875,30,139,109
"56","Journalism","Photo","AZ","Grand Canyon Village",1000,"failed",113,112,0,0,0,"0",0,44875,30,30,0
"57","Publishing","Literary Spaces","AZ","Phoenix",2000,"successful",0,0,0,0,0,"0",0,44875,12,27,15
"58","Design","Graphic Design","AZ","Phoenix",3500,"successful",3499,3653,0,0,0,"0",3304,44875,14,26,12
"61","Food","Cookbooks","AZ","Tucson",20000,"successful",0,0,0,0,0,"0",0,44875,31,70,39
"62","Comics","Webcomics","AZ","Chandler",3500,"failed",0,0,421,49300,3042101,"3813",1911,44875,36,290,254
"63","Film & Video","Comedy","AZ","Tempe",100,"successful",0,0,0,0,0,"0",0,44875,60,71,11
"64","Comics","Webcomics","AZ","Phoenix",3020,"failed",0,0,0,0,0,"0",0,44875,58,59,1
"67","Comics","Webcomics","AZ","Mesa",1000,"successful",0,0,0,0,0,"3071",0,44875,30,53,23
"68","Journalism","Photo","AZ","Phoenix",50000,"failed",0,0,0,0,0,"0",0,44875,30,35,5
"70","Design","Product Design","AZ","Glendale",2500,"successful",0,0,0,0,0,"0",0,44875,54,69,15
"71","Comics","Webcomics","AZ","Tucson",8000,"successful",2888,2878,0,0,0,"696",4014,44875,30,58,28
"72","Comics","Webcomics","AZ","Phoenix",15000,"successful",0,0,0,0,0,"0",12300,44875,30,140,110
"73","Comics","Webcomics","AZ","Phoenix",3000,"failed",0,0,0,0,0,"0",0,44875,30,78,48
"75","Comics","Webcomics","AZ","Chandler",3000,"successful",0,0,0,0,0,"0",0,44875,30,76,46
"76","Comics","Webcomics","AZ","Tucson",5000,"failed",0,0,0,0,0,"44",227,44875,30,52,22
"77","Comics","Webcomics","AZ","Phoenix",2000,"failed",0,0,0,0,0,"0",0,44875,57,60,3
"79","Technology","Sound","CA","Pasadena",10000,"successful",NA,NA,0,0,0,"0",0,53082,30,51,21
"80","Journalism","Photo","CA","San Francisco",25000,"successful",0,0,0,0,0,"0",0,53082,60,107,47
"81","Design","Product Design","CA","Los Angeles",10000,"successful",0,0,0,0,0,"0",0,53082,45,59,14
"83","Design","Toys","CA","Anaheim",2500,"successful",0,0,0,0,0,"0",1411,53082,25,75,50
"84","Technology","Sound","CA","San Jose",40000,"successful",50,53,0,0,0,"88",20,53082,30,114,84
"85","Film & Video","Comedy","CA","Los Angeles",10000,"successful",0,0,0,0,0,"0",0,53082,30,53,23
"87","Comics","Webcomics","CA","North Hollywood",500,"failed",0,0,0,0,0,"0",0,53082,60,62,2
"88","Comics","Webcomics","CA","Mountain View",25000,"successful",0,0,0,0,0,"0",23400,53082,33,78,45
"89","Film & Video","Comedy","CA","Los Angeles",2000,"successful",0,0,0,0,0,"0",0,53082,30,39,9
"91","Food","Cookbooks","CA","Los Angeles",7000,"successful",0,1332,0,0,0,"0",0,53082,45,51,6
"92","Music","R&B","CA","Los Angeles",11000,"successful",0,0,0,0,0,"0",0,53082,31,46,15
"94","Technology","Sound","CA","Cupertino",50000,"successful",0,0,0,0,0,"0",0,53082,35,71,36
"95","Comics","Webcomics","CA","Los Angeles",8000,"successful",0,0,7,652,10726,"134000",4702,53082,30,86,56
"96","Technology","Sound","CA","Los Angeles",5000,"successful",0,0,0,0,0,"0",0,53082,30,55,25
"97","Music","R&B","CA","Los Angeles",500,"successful",0,0,0,0,0,"0",0,53082,19,19,0
"98","Publishing","Literary Spaces","CA","Bakersfield",70000,"failed",0,0,0,0,0,"0",0,53082,60,64,4
"99","Comics","Webcomics","CA","Huntington Beach",17000,"successful",0,0,0,0,0,"0",0,53082,30,133,103
"100","Design","Toys","CA","Los Angeles",7500,"successful",0,15000,0,0,0,"0",0,53082,26,54,28
"101","Design","Product Design","CA","San Francisco",10000,"successful",0,0,0,0,0,"17000",0,53082,14,59,45
"102","Technology","Sound","CA","Pasadena",20000,"successful",121,131,0,0,0,"0",0,53082,58,269,211
"103","Theater","Spaces","CA","Malibu",5500000,"failed",0,0,0,0,0,"0",0,53082,45,66,21
"104","Comics","Webcomics","CA","Los Angeles",2000,"successful",0,0,8,5860,52797,"25400",22700,53082,7,7,0
